"frame"	"timestamp"	"original_position"	"position"	"delta_x"	"delta_z"	"left_rotation"	"left_x"	"left_y"	"left_z"	"right_rotation"	"right_x"	"right_y"	"right_z"	"base_opacity"	"left_opacity"	"right_opacity"	"auto_tick"	"auto_duration"	"auto_spacing"	"framerate"	"A_button"	"B_button"	"right_trigger"
958	32	(-1.6, 1.0, 0.0)	(-5.8, 1.0, 0.0)	4.194525	0.01510494	(0.1, 0.1, 0.0, 1.0)	11.30773	11.53462	1.145763	(0.1, 0.1, 0.0, 1.0)	11.30773	11.53462	1.145763	1	1	1	False	0	0	60.76687	False	False	0
1003	33	(-1.6, 1.0, 0.0)	(-6.2, 1.0, 0.0)	4.622643	0.0038357	(0.2, 0.6, -0.1, 0.8)	24.77447	74.79758	4.81355	(0.2, 0.6, -0.1, 0.8)	24.77447	74.79758	4.81355	1	1	1	False	0	0	38.40267	False	False	0
1045	34	(-1.6, 1.0, 0.0)	(-6.3, 1.0, 0.0)	4.727818	0.001067206	(0.1, 0.7, -0.1, 0.7)	16.26021	90.00001	0	(0.1, 0.7, -0.1, 0.7)	16.26021	90.00001	0	1	0.4304672	0.4304672	False	0	0	39.19255	False	True	0
1084	35	(-1.6, 1.0, 0.0)	(-5.6, 1.0, 0.0)	4.006927	0.0003253296	(-0.1, 0.7, 0.2, 0.6)	-26.38779	97.12501	7.125018	(-0.1, 0.7, 0.2, 0.6)	333.6122	97.12501	7.125018	1	0.00706965	0.00706965	False	0	0	37.50262	False	True	0
1118	36	(-1.6, 1.0, 0.0)	(-4.7, 1.0, 0.0)	3.12188	0.0001154784	(-0.1, 0.9, 0.3, 0.3)	-36.8699	143.1301	1.067217E-06	(-0.1, 0.9, 0.3, 0.3)	323.1301	143.1301	1.067217E-06	1	0.000196627	0.000196627	False	0	0	36.61727	False	True	0
1171	37	(-1.6, 1.0, 0.0)	(-3.5, 1.0, 0.0)	1.892334	2.29571E-05	(0.1, 1.0, -0.2, 0.2)	23.80779	158.8387	6.911227	(0.1, 1.0, -0.2, 0.2)	23.80779	158.8387	6.911227	1	7.387474E-07	7.387474E-07	False	0	0	66.38677	False	True	0
1230	38	(-1.6, 1.0, 0.0)	(-2.8, 1.0, 0.0)	1.183992	3.784895E-06	(0.2, 0.7, -0.1, 0.7)	24.06464	91.82797	8.560891	(0.2, 0.7, -0.1, 0.7)	24.06464	91.82797	8.560891	1	1.475041E-09	1.475041E-09	False	0	0	57.87485	False	True	0
1290	39	(-1.6, 1.0, 0.0)	(-2.7, 1.0, 0.0)	1.063083	5.848706E-07	(0.0, 0.2, 0.0, 1.0)	0	22.61987	0	(0.0, 0.2, 0.0, 1.0)	0	22.61987	0	1	2.650663E-12	2.650663E-12	False	0	0	72.24731	False	True	0
1351	40	(-1.6, 1.0, 0.0)	(-2.7, 1.0, 0.0)	1.043529	6.519258E-08	(-0.3, 0.1, 0.1, 0.9)	-37.49524	9.462322	9.462322	(-0.3, 0.1, 0.1, 0.9)	322.5048	9.462322	9.462322	1	4.286942E-15	4.286942E-15	False	0	0	58.2599	False	True	0
1398	41	(-1.6, 1.0, 0.0)	(-2.7, 1.0, 0.0)	1.040779	0	(-0.2, 0.6, 0.2, 0.8)	-31.23291	72.34988	4.96974	(-0.2, 0.6, 0.2, 0.8)	328.7671	72.34988	4.96974	1	3.030717E-17	3.030717E-17	False	0	0	39.82339	False	True	0
1446	42	(-1.6, 1.0, 0.0)	(-2.7, 1.0, 0.0)	1.040115	0	(0.3, 0.6, -0.2, 0.7)	42.3354	83.65982	6.340196	(0.3, 0.6, -0.2, 0.7)	42.3354	83.65982	6.340196	1	1	1	False	0	0	54.89009	False	False	0
1497	43	(-1.6, 1.0, 0.0)	(-2.7, 1.0, 0.0)	1.039958	0	(0.3, 0.6, -0.2, 0.7)	42.3354	83.65982	6.340196	(0.3, 0.6, -0.2, 0.7)	42.3354	83.65982	6.340196	1	1	1	False	0	0	45.26836	False	False	0
1544	44	(-1.6, 1.0, 0.0)	(-2.7, 1.0, 0.0)	1.039926	0	(0.2, 0.7, -0.1, 0.7)	24.06464	91.82797	8.560891	(0.2, 0.7, -0.1, 0.7)	24.06464	91.82797	8.560891	1	1	1	False	0	0	47.68694	False	False	0
1584	45	(-1.6, 1.0, 0.0)	(-2.7, 1.0, 0.0)	1.039919	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	(0.0, 0.7, 0.0, 0.8)	0	82.37184	0	1	1	1	False	0	0	36.98933	False	False	0
1618	46	(-1.6, 1.0, 0.0)	(-2.7, 1.0, 0.0)	1.039919	0	(-0.1, 0.7, 0.1, 0.7)	-16.26019	90.00001	0	(-0.1, 0.7, 0.1, 0.7)	343.7398	90.00001	0	1	1	1	False	0	0	33.40218	False	False	0
1651	47	(-1.6, 1.0, 0.0)	(-3.3, 1.0, 0.0)	1.685384	0	(-0.1, 0.7, 0.1, 0.7)	-16.26019	90.00001	0	(-0.1, 0.7, 0.1, 0.7)	343.7398	90.00001	0	1	1	1	False	0	0	33.09266	False	False	0
1684	48	(-1.6, 1.0, 0.0)	(-3.6, 1.0, 0.0)	1.959351	0	(-0.1, 0.8, 0.2, 0.5)	-26.53909	115.3462	2.726312	(-0.1, 0.8, 0.2, 0.5)	333.4609	115.3462	2.726312	1	1	1	False	0	0	32.85557	False	False	0
1722	49	(-1.6, 1.0, 0.0)	(-3.7, 1.0, 0.0)	2.067797	0	(0.0, 1.0, 0.0, 0.3)	0	146.6015	0	(0.0, 1.0, 0.0, 0.3)	0	146.6015	0	1	0.3874205	0.3874205	False	0	0	37.29414	False	True	0
1762	50	(-1.6, 1.0, 0.0)	(-3.4, 1.0, 0.0)	1.749548	0	(0.0, 1.0, 0.3, 0.0)	-33.39847	180	0	(0.0, 1.0, 0.3, 0.0)	326.6015	180	0	1	0.005726417	0.005726417	False	0	0	42.18018	False	True	0
1798	51	(-1.6, 1.0, 0.0)	(-2.6, 1.0, 0.0)	1.003216	0	(0.1, 0.9, 0.3, -0.3)	-36.8699	-143.1301	-1.067217E-06	(0.1, 0.9, 0.3, -0.3)	323.1301	216.8699	-1.067217E-06	1	0.7176995	0.7176995	False	0	0	40.21119	False	False	0
1848	52	(-1.6, 1.0, 0.0)	(-1.9, 1.0, 0.0)	0.2432184	0	(0.2, 0.7, 0.3, -0.6)	-42.33539	-96.34015	-6.340179	(0.2, 0.7, 0.3, -0.6)	317.6646	263.6599	353.6598	1	0.04710128	0.04710128	False	0	0	46.19625	False	True	0
1900	53	(-1.6, 1.0, 0.0)	(-2.0, 1.0, 0.0)	0.4304699	0	(0.0, 0.8, 0.0, -0.7)	0	-97.62811	0	(0.0, 0.8, 0.0, -0.7)	0	262.3719	0	1	0.000196627	0.000196627	False	0	0	59.01263	False	True	0
1959	54	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5073878	0	(0.1, 0.8, 0.2, -0.6)	-24.77444	-105.2024	-4.813538	(0.1, 0.8, 0.2, -0.6)	335.2256	254.7976	355.1865	1	3.926007E-07	3.926007E-07	False	0	0	57.34637	False	True	0
2006	55	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5190214	0	(0.0, 1.0, 0.3, 0.1)	-33.05573	167.4712	3.731397	(0.0, 1.0, 0.3, 0.1)	326.9443	167.4712	3.731397	1	0.3439	0.3439	False	0	0	39.30215	False	False	0
2040	56	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.521377	0	(-0.1, 0.7, 0.1, 0.7)	-16.26019	90.00001	0	(-0.1, 0.7, 0.1, 0.7)	343.7398	90.00001	0	1	1	1	False	0	0	31.90179	False	False	0
2078	57	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5222663	0	(-0.2, 0.1, 0.1, 1.0)	-23.3425	9.462324	9.462324	(-0.2, 0.1, 0.1, 1.0)	336.6575	9.462324	9.462324	1	1	1	False	0	0	48.02651	False	False	0
2127	58	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5225824	0	(-0.3, 0.1, 0.1, 0.9)	-37.49524	9.462322	9.462322	(-0.3, 0.1, 0.1, 0.9)	322.5048	9.462322	9.462322	1	0.3138106	0.3138106	False	0	0	46.62695	False	True	0
2171	59	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5226496	0	(-0.3, 0.2, 0.1, 0.9)	-37.62756	23.49857	4.573921	(-0.3, 0.2, 0.1, 0.9)	322.3724	23.49857	4.573921	1	0.003043252	0.003043252	False	0	0	41.20141	False	True	0
2210	60	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5226659	0	(0.0, 0.4, 0.0, 0.9)	0	47.92498	0	(0.0, 0.4, 0.0, 0.9)	0	47.92498	0	1	0.9114206	0.9114206	False	0	0	41.49692	False	False	0
2249	61	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5226699	0	(0.1, 0.7, -0.1, 0.6)	17.38858	99.00851	1.380354	(0.1, 0.7, -0.1, 0.6)	17.38858	99.00851	1.380354	1	1	1	False	0	0	38.44972	False	False	0
2287	62	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5226699	0	(0.1, 0.6, 0.0, 0.8)	9.114958	74.29136	6.911227	(0.1, 0.6, 0.0, 0.8)	9.114958	74.29136	6.911227	1	1	1	False	0	0	36.65857	False	False	0
2314	63	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5226699	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	1	1	False	0	0	25.85618	False	False	0
2338	64	(-1.6, 1.0, 0.0)	(-2.1, 1.0, 0.0)	0.5226699	0	(-0.1, 0.6, 0.1, 0.8)	-15.9328	73.41267	2.337305	(-0.1, 0.6, 0.1, 0.8)	344.0672	73.41267	2.337305	1	1	1	False	0	0	24.21	False	False	0
2362	65	(-1.6, 1.0, 0.0)	(-2.0, 1.0, 0.0)	0.3356218	0	(-0.2, 0.7, 0.2, 0.7)	-31.89078	90	0	(-0.2, 0.7, 0.2, 0.7)	328.1092	90	0	1	1	1	False	0	0	23.42514	False	False	0
2384	66	(-1.6, 1.0, 0.0)	(-1.6, 1.0, 0.0)	0.001104355	0	(-0.2, 0.7, 0.2, 0.7)	-31.89078	90	0	(-0.2, 0.7, 0.2, 0.7)	328.1092	90	0	1	0.109419	0.109419	False	0	0	22.9298	False	True	0
2409	67	(-1.6, 1.0, 0.0)	(-1.0, 1.0, 0.0)	0.6415928	0	(0.1, 0.6, -0.1, 0.8)	15.9328	73.41267	-2.337311	(0.1, 0.6, -0.1, 0.8)	15.9328	73.41267	357.6627	1	0.6003642	0.6003642	False	0	0	25.78559	False	False	0
2437	68	(-1.6, 1.0, 0.0)	(-0.4, 1.0, 0.0)	1.197813	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	0.1141703	0.1141703	False	0	0	27.016	False	True	0
2464	69	(-1.6, 1.0, 0.0)	(0.0, 1.0, 0.0)	1.598549	0	(0.0, 0.4, 0.0, 0.9)	0	47.92498	0	(0.0, 0.4, 0.0, 0.9)	0	47.92498	0	1	0.006638973	0.006638973	False	0	0	27.20131	False	True	0
2491	70	(-1.6, 1.0, 0.0)	(0.3, 1.0, 0.0)	1.895477	0	(-0.1, 0.4, 0.1, 0.9)	-15.22592	47.1211	6.009006	(-0.1, 0.4, 0.1, 0.9)	344.7741	47.1211	6.009006	1	0.3442861	0.3442861	False	0	0	26.34631	False	False	0
2516	71	(-1.6, 1.0, 0.0)	(0.4, 1.0, 0.0)	2.019518	0	(0.0, 0.5, 0.0, 0.9)	0	58.10921	0	(0.0, 0.5, 0.0, 0.9)	0	58.10921	0	1	0.9529265	0.9529265	False	0	0	24.60803	False	False	0
2543	72	(-1.6, 1.0, 0.0)	(0.8, 1.0, 0.0)	2.410352	0.006598236	(0.0, 0.9, 0.2, 0.3)	-22.51831	141.5463	7.943472	(0.0, 0.9, 0.2, 0.3)	337.4817	141.5463	7.943472	1	1	1	False	0	0	29.15514	False	False	0
2575	73	(-1.6, 1.0, 0.0)	(1.3, 1.0, 0.0)	2.905655	0.01590968	(0.1, 0.8, -0.1, 0.5)	16.60155	116.565	3.945186	(0.1, 0.8, -0.1, 0.5)	16.60155	116.565	3.945186	1	1	1	False	0	0	31.06905	False	False	0
2612	74	(-1.6, 1.0, 0.0)	(1.5, 1.0, 0.0)	3.108534	0.01972368	(0.1, 0.6, 0.0, 0.8)	9.114958	74.29136	6.911227	(0.1, 0.6, 0.0, 0.8)	9.114958	74.29136	6.911227	1	1	1	False	0	0	39.16956	False	False	0
2652	75	(-1.6, 1.0, 0.0)	(1.6, 1.0, 0.0)	3.177019	0.02101116	(0.0, 0.6, 0.0, 0.8)	0	73.73979	0	(0.0, 0.6, 0.0, 0.8)	0	73.73979	0	1	1	1	False	0	0	39.90057	False	False	0
2691	76	(-1.6, 1.0, 0.0)	(1.6, 1.0, 0.0)	3.197008	0.02138695	(0.0, 0.6, 0.0, 0.8)	0	73.73979	0	(0.0, 0.6, 0.0, 0.8)	0	73.73979	0	1	1	1	False	0	0	39.53403	False	False	0
2730	77	(-1.6, 1.0, 0.0)	(1.6, 1.0, 0.0)	3.203102	0.02150151	(-0.1, 0.6, 0.1, 0.8)	-15.9328	73.41267	2.337305	(-0.1, 0.6, 0.1, 0.8)	344.0672	73.41267	2.337305	1	0.81	0.81	False	0	0	37.5582	False	True	0
2767	78	(-1.6, 1.0, 0.0)	(1.7, 1.0, 0.0)	3.340724	0.02153546	(-0.1, 0.6, 0.1, 0.8)	-15.9328	73.41267	2.337305	(-0.1, 0.6, 0.1, 0.8)	344.0672	73.41267	2.337305	1	0.7026126	0.7026126	False	0	0	35.99716	False	False	0
2805	79	(-1.6, 1.0, 0.0)	(2.0, 1.0, 0.0)	3.602866	0.02154663	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	1	1	False	0	0	41.15892	False	False	0
2846	80	(-1.6, 1.0, 0.0)	(2.9, 1.0, 0.1)	4.535285	0.1441148	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	1	1	False	0	0	42.11073	False	False	0
2885	81	(-1.6, 1.0, 0.0)	(4.4, 1.0, 0.4)	6.03809	0.4334537	(0.0, 0.8, 0.0, 0.6)	0	106.2602	0	(0.0, 0.8, 0.0, 0.6)	0	106.2602	0	1	1	1	False	0	0	38.81575	False	False	0
2926	82	(-1.6, 1.0, 0.0)	(4.9, 1.0, 0.5)	6.508109	0.5239472	(0.0, 0.7, 0.0, 0.7)	0	90	0	(0.0, 0.7, 0.0, 0.7)	0	90	0	1	1	1	False	0	0	38.46193	False	False	0
